City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Atuona,PF,77.79,overcast clouds,-9.8,-139.0333,Villa Enata
23,Rikitea,PF,78.3,overcast clouds,-23.1203,-134.9692,Pension Maro'i
25,Meulaboh,ID,75.45,overcast clouds,4.1363,96.1285,Kost Pria
27,Hithadhoo,MV,80.89,overcast clouds,-0.6,73.0833,Scoop Guest House
32,Kirakira,SB,83.73,light rain,-10.4544,161.9205,SanBiz Lodge
33,Mar Del Plata,AR,77.0,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
39,Senador Jose Porfirio,BR,84.22,light rain,-2.5908,-51.9542,Pousada Novo Horizonte
55,Alice Springs,AU,77.0,clear sky,-23.7,133.8833,Desert Palms Alice Springs
56,Orocue,CO,79.0,heavy intensity rain,4.7912,-71.3354,Hotel Brisas de San Miguel
58,Hilo,US,78.8,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
62,Bathsheba,BB,80.6,few clouds,13.2167,-59.5167,Atlantis Hotel
63,Poum,NC,82.11,light rain,-20.2333,164.0167,Gîte kajeon
64,Ayorou,NE,78.96,clear sky,14.7308,0.9174,Hotel Amenokal
65,Vaini,TO,84.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
70,Esmeraldas,BR,80.6,moderate rain,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
76,Chuy,UY,78.26,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
80,Lorengau,PG,81.79,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
81,Butaritari,KI,81.7,broken clouds,3.0707,172.7902,Isles Sunset Lodge
85,Kununurra,AU,80.6,overcast clouds,-15.7667,128.7333,Hotel Kununurra
88,Lima,PE,75.99,few clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
94,Viedma,AR,89.01,clear sky,-40.8135,-62.9967,Hotel Cristal
95,Touros,BR,82.4,few clouds,-5.1989,-35.4608,INN NEW HORIZON
99,Gizo,SB,84.47,moderate rain,-8.103,156.8419,Imagination Island
100,Kavaratti,IN,82.35,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
107,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
109,Mogadishu,SO,76.26,broken clouds,2.0371,45.3438,Hotel Juba
110,Ghanzi,BW,76.96,broken clouds,-21.5667,21.7833,Ghanzi Farmhouse
116,Kahului,US,82.4,few clouds,20.8947,-156.47,Maui Seaside Hotel
117,Mount Isa,AU,78.8,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
118,Cockburn Town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
121,Arraial Do Cabo,BR,80.6,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
130,Cap Malheureux,MU,78.01,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
134,Bambous Virieux,MU,78.8,light rain,-20.3428,57.7575,Casa Tia Villa
135,Kapaa,US,78.8,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
138,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
141,Morant Bay,JM,86.0,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
142,Puerto Ayora,EC,84.2,clear sky,-0.7393,-90.3518,Castillo Galapagos
147,Caravelas,BR,79.25,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
155,Carnarvon,AU,75.2,clear sky,-24.8667,113.6333,Hospitality Carnarvon
160,Buchanan,LR,77.0,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
162,Ampanihy,MG,79.43,clear sky,-24.7,44.75,Angora Hotel
163,Paratinga,BR,85.82,scattered clouds,-12.6906,-43.1842,Pousada Magalhães 2
166,Eydhafushi,MV,81.34,overcast clouds,5.1033,73.0708,Soneva Fushi
167,Bhatkal,IN,78.04,scattered clouds,13.9667,74.5667,SPOT ON 61793 Chaya Residency SPOT
168,Avarua,CK,84.2,light rain,-21.2078,-159.775,Paradise Inn
169,Boyolangu,ID,75.42,overcast clouds,-8.1181,111.8935,Yos ega cv
176,Isangel,VU,80.6,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
178,Port Pirie,AU,77.0,scattered clouds,-33.1833,138.0167,John Pirie Motor Inn
185,Nacala,MZ,79.02,broken clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
197,San Cristobal,VE,86.0,scattered clouds,7.7669,-72.225,Pirineos
203,La Asuncion,VE,79.43,broken clouds,11.0333,-63.8628,Colinas de Matasiete
207,Axim,GH,79.77,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
210,Sola,VU,82.9,light rain,-13.8833,167.55,Leumerus Bungalows
214,Port Lincoln,AU,79.41,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
217,Port Blair,IN,78.75,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
235,Hambantota,LK,76.32,light rain,6.1241,81.1185,Bungalow 63
240,Itarema,BR,80.01,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
246,Belmonte,BR,82.4,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
247,Port Hedland,AU,80.6,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
249,Amahai,ID,84.99,broken clouds,-3.3333,128.9167,HOTEL ISABELA
259,Fomboni,KM,83.3,broken clouds,-12.28,43.7425,Auberge les abou
261,Makakilo City,US,80.6,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
266,Georgetown,MY,77.0,few clouds,5.4112,100.3354,Cititel Penang
267,Karonga,MW,76.68,light rain,-9.9333,33.9333,Sumuka Inn
268,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
270,Yenagoa,NG,77.2,few clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
275,Saint-Joseph,RE,78.8,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
276,Auki,SB,81.72,moderate rain,-8.7676,160.7034,Auki Motel
282,Grand-Lahou,CI,79.25,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
284,Karratha,AU,86.11,light rain,-20.7377,116.8463,ibis Styles Karratha
286,Kavieng,PG,82.15,moderate rain,-2.5744,150.7967,Nusa Island Retreat
294,Miri,MY,75.2,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
295,Totness,SR,79.88,scattered clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
299,Namatanai,PG,79.68,light rain,-3.6667,152.4333,Namatanai Hotel
305,Bubaque,GW,79.68,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
307,Oriximina,BR,86.05,light rain,-1.7656,-55.8661,Pousada Tia Amélia
316,Kota Belud,MY,77.0,moderate rain,6.351,116.4305,Tang Dynasty Lodge Kota Belud
318,Lhokseumawe,ID,75.36,moderate rain,5.1801,97.1507,OYO 3278 Penginapan Alfajri
319,Jibuti,DJ,75.2,haze,11.5,42.5,Orchid Main Camp Goubet
320,Harper,LR,79.81,scattered clouds,4.375,-7.7169,Screensaver
322,Makasar,ID,77.0,very heavy rain,-5.14,119.4221,Aryaduta Makassar
323,Samarai,PG,82.78,moderate rain,-10.6167,150.6667,Nuli Sapi
326,Vao,NC,78.04,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
330,Canavieiras,BR,82.4,broken clouds,-15.675,-38.9472,Bahiadomizil
