City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pisco,PE,-13.7,-76.2167,73.4,78,0,21.85,clear sky
1,Tuatapere,NZ,-46.1333,167.6833,57.0,74,30,8.99,scattered clouds
2,Belyy Yar,RU,53.6039,91.3903,19.4,58,0,11.18,clear sky
3,Grindavik,IS,63.8424,-22.4338,19.4,73,0,4.61,clear sky
4,Portland,US,45.5234,-122.6762,46.99,87,90,6.91,light intensity drizzle
5,Aklavik,CA,68.2191,-135.0107,-2.2,84,75,4.61,broken clouds
6,Atuona,PF,-9.8,-139.0333,77.79,80,100,17.18,overcast clouds
7,Yellowknife,CA,62.456,-114.3525,3.2,85,90,4.61,overcast clouds
8,Qaqortoq,GL,60.7167,-46.0333,41.0,38,90,23.02,overcast clouds
9,Nome,US,64.5011,-165.4064,14.0,73,20,14.97,few clouds
10,Severo-Kurilsk,RU,50.6789,156.125,18.84,90,91,18.66,overcast clouds
11,Lormi,IN,22.2833,81.7333,65.89,71,9,4.34,clear sky
12,Tartus,SY,34.889,35.8866,55.99,66,0,4.61,clear sky
13,Ushuaia,AR,-54.8,-68.3,48.2,76,75,23.02,light rain
14,Hobart,AU,-42.8794,147.3294,66.2,68,0,16.11,clear sky
15,Beidao,CN,34.5686,105.8933,17.78,70,6,1.9,clear sky
16,Albany,US,42.6001,-73.9662,28.0,63,1,3.62,clear sky
17,Bredasdorp,ZA,-34.5322,20.0403,66.2,63,100,8.05,overcast clouds
18,Ponta Do Sol,PT,32.6667,-17.1,53.01,66,28,3.0,scattered clouds
19,Peleduy,RU,59.6289,112.7406,-8.97,89,100,1.48,overcast clouds
20,Nuuk,GL,64.1835,-51.7216,33.8,93,90,1.14,light snow
21,San Patricio,US,28.017,-97.5169,44.6,93,90,31.07,light rain
22,Warrington,GB,53.3925,-2.5802,42.01,93,90,8.05,overcast clouds
23,Rikitea,PF,-23.1203,-134.9692,78.3,76,89,13.78,overcast clouds
24,Comodoro Rivadavia,AR,-45.8667,-67.5,68.0,15,40,32.21,scattered clouds
25,Meulaboh,ID,4.1363,96.1285,75.45,89,100,4.38,overcast clouds
26,Rafai,CF,4.95,23.9167,69.48,26,1,1.48,clear sky
27,Hithadhoo,MV,-0.6,73.0833,80.89,76,100,15.28,overcast clouds
28,Brownsville,US,25.9018,-97.4975,55.4,82,90,20.71,overcast clouds
29,Jamestown,US,42.097,-79.2353,36.0,64,1,3.44,clear sky
30,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,84,75,16.11,snow
31,Shimoda,JP,34.6667,138.95,30.0,69,30,16.06,scattered clouds
32,Kirakira,SB,-10.4544,161.9205,83.73,75,98,5.1,light rain
33,Mar Del Plata,AR,-38.0023,-57.5575,77.0,65,0,23.02,clear sky
34,Khatanga,RU,71.9667,102.5,-11.31,90,100,19.37,light snow
35,Hermanus,ZA,-34.4187,19.2345,64.99,73,59,3.0,broken clouds
